account_id,matches,active_days,wins,kills,kills_bots,assists,deaths,pmins,golds,unq_maps,unq_chrs,avg_matches_pd,max_matches_pd,avg_wins_pd,max_wins_pd,lw_match_rate,days_since_last_sign_in,days_since_sign_up,purchase_amt,purchase_freq,has_premium,chat_rate_pm,time_to_first_play,high_spd_internet,resolution,tutorial_progress,dv_churn,dv_purchase_amt
127073,232,11,107,983,7365,1598,916,3723.25,2813923,10,26,21.09,30,9.73,16,0.0,17,52,0.0,0,0,51.16,122.03,0,c,1.0,0,6.0
809794,155,11,38,310,5875,869,1230,2361.38,1537213,4,11,14.09,25,3.45,8,0.0,11,29,0.0,0,0,38.19,74.26,1,c,0.66,0,5.0
161144,16,3,8,47,709,87,45,171.63,84249,7,4,5.33,7,2.67,4,0.44,5,34,0.0,0,0,12.33,212.5,0,c,0.32,1,0.0
128482,5,3,1,14,303,34,39,93.57,61699,2,2,1.67,2,0.33,1,0.0,15,47,0.0,0,0,38.31,286.58,0,c,0.28,1,0.0
284530,1,1,0,3,41,12,0,15.77,12876,1,1,1.0,1,0.0,0,0.0,28,30,0.0,0,0,62.06,118.09,0,c,0.12,1,0.0
837846,2,1,0,1,37,10,32,40.73,26110,2,2,2.0,2,0.0,0,0.0,16,32,0.0,0,0,19.58,257.25,1,c,1.0,1,0.0
781385,1,1,1,3,42,4,15,33.45,22885,1,1,1.0,1,1.0,0,1.0,1,53,0.0,0,0,45.97,88.47,0,c,0.64,0,0.0
667114,22,5,8,82,1291,131,91,307.28,167058,5,7,4.4,8,1.6,3,0.0,24,28,2.8,1,0,0.0,336.38,1,b,1.0,1,0.0
377579,23,7,10,81,676,264,122,341.35,240485,5,9,3.29,9,1.43,4,0.0,16,30,0.0,0,0,36.02,172.13,0,c,0.3,1,0.0
911108,1,1,1,0,16,0,0,5.53,4066,1,1,1.0,1,1.0,1,0.0,23,38,0.0,0,0,31.06,86.14,1,b,0.72,1,0.0
934283,149,22,74,356,6187,1601,702,2230.42,1506904,5,36,6.77,21,3.36,11,0.15,1,48,0.0,0,0,84.09,114.52,0,c,0.67,0,6.0
875665,13,7,13,68,277,173,68,146.1,125808,2,1,1.86,4,1.86,4,0.0,14,37,0.0,0,0,17.02,83.15,0,c,1.0,0,0.0
182239,4,1,3,6,96,38,23,54.38,39200,4,3,4.0,4,3.0,2,0.0,25,32,0.0,0,0,0.63,176.34,0,b,0.78,1,0.0
147311,29,6,12,119,871,258,84,332.27,263129,6,16,4.83,8,2.0,5,0.0,23,28,2.9,1,0,61.85,75.1,0,c,0.8,1,0.0
646990,16,3,9,35,650,113,81,248.53,161531,9,7,5.33,8,3.0,6,1.0,1,52,0.0,0,0,0.0,113.0,0,c,0.46,0,0.0
345857,113,17,75,1045,8391,745,271,1389.87,2729793,6,53,6.65,14,4.41,11,0.0,11,43,3.2,1,0,57.05,279.36,1,c,1.0,1,0.0
915204,5,1,2,26,194,29,22,47.77,33638,2,2,5.0,5,2.0,1,1.0,4,49,3.0,1,0,71.66,142.32,1,c,0.55,0,0.0
